date,confirmed_cases,mask_required,cases
2020-01-23,0,No,0
2020-01-24,1,No,1
2020-01-25,1,No,0
2020-01-26,1,No,0
2020-01-27,1,No,0
2020-01-28,1,No,0
2020-01-29,1,No,0
2020-01-30,1,No,0
2020-01-31,2,No,1
2020-02-01,2,No,0
2020-02-02,2,No,0
2020-02-03,2,No,0
2020-02-04,2,No,0
2020-02-05,2,No,0
2020-02-06,2,No,0
2020-02-07,2,No,0
2020-02-08,2,No,0
2020-02-09,2,No,0
2020-02-10,2,No,0
2020-02-11,2,No,0
2020-02-12,2,No,0
2020-02-13,2,No,0
2020-02-14,2,No,0
2020-02-15,2,No,0
2020-02-16,2,No,0
2020-02-17,2,No,0
2020-02-18,2,No,0
2020-02-19,2,No,0
2020-02-20,2,No,0
2020-02-21,2,No,0
2020-02-22,2,No,0
2020-02-23,2,No,0
2020-02-24,2,No,0
2020-02-25,2,No,0
2020-02-26,2,No,0
2020-02-27,2,No,0
2020-02-28,2,No,0
2020-02-29,2,No,0
2020-03-01,3,No,1
2020-03-02,4,No,1
2020-03-03,4,No,0
2020-03-04,4,No,0
2020-03-05,5,No,1
2020-03-06,5,No,0
2020-03-07,6,No,1
2020-03-08,7,No,1
2020-03-09,7,No,0
2020-03-10,11,No,4
2020-03-11,22,No,11
2020-03-12,27,No,5
2020-03-13,40,No,13
2020-03-14,50,No,10
2020-03-15,50,No,0
2020-03-16,62,No,12
2020-03-17,107,No,45
2020-03-18,178,No,71
2020-03-19,278,No,100
2020-03-20,278,No,0
2020-03-21,548,No,270
2020-03-22,805,No,257
2020-03-23,922,No,117
2020-03-24,1194,No,272
2020-03-25,1418,No,224
2020-03-26,1418,No,0
2020-03-27,2239,No,821
2020-03-28,2613,No,374
2020-03-29,3445,No,832
2020-03-30,3727,No,282
2020-03-31,4496,No,769
2020-04-01,5152,No,656
2020-04-02,5575,No,423
2020-04-03,6111,No,536
2020-04-04,7439,No,1328
2020-04-05,8034,No,595
2020-04-06,8728,No,694
2020-04-07,9509,No,781
2020-04-08,10520,No,1011
2020-04-09,11415,No,895
2020-04-10,12472,No,1057
2020-04-11,13417,No,945
2020-04-12,14585,No,1168
2020-04-13,15474,No,889
2020-04-14,16323,No,849
2020-04-15,17306,No,983
2020-04-16,18087,No,781
2020-04-17,19391,No,1304
2020-04-18,20395,No,1004
2020-04-19,21272,No,877
2020-04-20,22101,No,829
2020-04-21,23181,No,1080
2020-04-22,24546,No,1365
2020-04-23,25811,No,1265
2020-04-24,27616,No,1805
2020-04-25,29058,No,1442
2020-04-26,30574,No,1516
2020-04-27,31953,No,1379
2020-04-28,33449,No,1496
2020-04-29,34880,No,1431
2020-04-30,36513,No,1633
2020-05-01,38668,Yes,2155
2020-05-02,40227,Yes,1559
2020-05-03,42324,Yes,2097
2020-05-04,43715,Yes,1391
2020-05-05,45223,Yes,1508
2020-05-06,46689,Yes,1466
2020-05-07,48341,Yes,1652
2020-05-08,50236,Yes,1895
2020-05-09,51674,Yes,1438
2020-05-10,52655,Yes,981
2020-05-11,53381,Yes,726
2020-05-12,55470,Yes,2089
2020-05-13,56406,Yes,936
2020-05-14,58457,Yes,2051
2020-05-15,59905,Yes,1448
2020-05-16,61212,Yes,1307
2020-05-17,62218,Yes,1006
2020-05-18,63690,Yes,1472
2020-05-19,64691,Yes,1001
2020-05-20,66213,Yes,1522
2020-05-21,67551,Yes,1338
2020-05-22,68949,Yes,1398
2020-05-23,70417,Yes,1468
2020-05-24,72010,Yes,1593
2020-05-25,73097,Yes,1087
2020-05-26,73819,Yes,722
2020-05-27,74521,Yes,702
2020-05-28,75306,Yes,785
2020-05-29,76266,Yes,960
2020-05-30,77119,Yes,853
2020-05-31,77925,Yes,806
2020-06-01,78495,Yes,570
2020-06-02,79673,Yes,1178
2020-06-03,80204,Yes,531
2020-06-04,80713,Yes,509
2020-06-05,81344,Yes,631
2020-06-06,81924,Yes,580
2020-06-07,82427,Yes,503
2020-06-08,82819,Yes,392
2020-06-09,83271,Yes,452
2020-06-10,83585,Yes,314
2020-06-11,83978,Yes,393
2020-06-12,84249,Yes,271
2020-06-13,84581,Yes,332
2020-06-14,84906,Yes,325
2020-06-15,85184,Yes,278
2020-06-16,85538,Yes,354
2020-06-17,85858,Yes,320
2020-06-18,86179,Yes,321
2020-06-19,86551,Yes,372
2020-06-20,86885,Yes,334
2020-06-21,87177,Yes,292
2020-06-22,87424,Yes,247
2020-06-23,87784,Yes,360
2020-06-24,88138,Yes,354
2020-06-25,88650,Yes,512
2020-06-26,89068,Yes,418
2020-06-27,89407,Yes,339
2020-06-28,89755,Yes,348
